c_title	c_upload_time	c_duration	c_description	c_media_id	c_title_s	c_uploader	
王者荣耀德古拉解说：兵仙韩信飘逸身法大秀全场！	2017-04-19 00:00:00	18:06	本期德古拉为大家带来钻石局韩信第一视角实战攻略，灵活飘逸，三路称王！	d0395jdglry	王者荣耀德古拉解说：兵仙韩信飘逸身法大秀全场！	德古拉Dracula	
王者排位日志【131】神箭后羿一秒9发站撸无敌！	2017-04-19 00:00:00	14:34	本期德古拉为大家带来钻石局后羿第一视角实战攻略，一秒九箭教你做人，送你回家！	h0395b0jbyd	王者排位日志【131】神箭后羿一秒9发站撸无敌！	德古拉Dracula	
王者荣耀德古拉解说：娜可成功解毒一波团灭上高地！	2017-04-19 00:00:00	20:30	本期德古拉为大家带来钻石局娜可露露第一视角实战攻略，实力输出直指后排！	b0395n5u63i	王者荣耀德古拉解说：娜可成功解毒一波团灭上高地！	德古拉Dracula	
王者荣耀德古拉解说：一哥曹操收了人头忘了打野！	2017-04-19 00:00:00	13:06	本期德古拉为大家带来钻石局曹操第一视角实战攻略，不务正业的打野曹操又来了，什么是打野我咋不知道！	o0395t0ovj4	王者荣耀德古拉解说：一哥曹操收了人头忘了打野！	德古拉Dracula	
王者荣耀德古拉解说：貂蝉大乱斗巧遇五杀终结者！	2017-04-19 00:00:00	08:57	本期德古拉为大家带来英雄赵云大乱斗模式第一视角视频，劲爆的戳菊花，无情的屠戮！	a0395463rzs	王者荣耀德古拉解说：貂蝉大乱斗巧遇五杀终结者！	德古拉Dracula	
王者荣耀德古拉解说：孙尚香火焰山翻滚大炮轰不停！	2017-04-19 00:00:00	05:32	本期德古拉为大家带来英雄孙尚香火焰山模式第一视角视频，翻滚吧宝宝，一炮惊魂！	l0395biu9ku	王者荣耀德古拉解说：孙尚香火焰山翻滚大炮轰不停！	德古拉Dracula	
王者排位日志【130】曹操君忘乎打野只顾杀人！	2017-04-18 00:00:00	12:49	本期德古拉为大家带来钻石局曹操第一视角实战攻略，又忘记本职工作打野了，打人就够刺激了！	r0394x3ue2j	王者排位日志【130】曹操君忘乎打野只顾杀人！	德古拉Dracula	
王者荣耀德古拉解说：野区霸主韩信，一枪横扫八荒！	2017-04-18 00:00:00	12:05	本期德古拉为大家带来钻石局韩信第一视角实战攻略，打完就跑不留一丝遗憾，你跑我就追，不给一点机会！	w0394flkk5y	王者荣耀德古拉解说：野区霸主韩信，一枪横扫八荒！	德古拉Dracula	
王者荣耀德古拉解说：死亡摇滚输出高，人丑就是狠！	2017-04-18 00:00:00	17:44	本期德古拉为大家带来钻石局高渐离第一视角实战攻略，爆炸输出，进场就秒人！	v039402cqho	王者荣耀德古拉解说：死亡摇滚输出高，人丑就是狠！	德古拉Dracula	
王者荣耀德古拉解说：露露爆炸输出，心里的苦自己吞！	2017-04-18 00:00:00	19:01	本期德古拉为大家带来钻石局娜可露露第一视角实战攻略，队友说你行你才行，行也不行！	z03948t0gch	王者荣耀德古拉解说：露露爆炸输出，心里的苦自己吞！	德古拉Dracula	
王者荣耀德古拉解说：花木兰大乱斗独领风骚！	2017-04-18 00:00:00	12:16	本期德古拉为大家带来英雄花木兰大乱斗模式第一视角视频，轻松玩连招，一条直线站着撸！	e0394y65p5x	王者荣耀德古拉解说：花木兰大乱斗独领风骚！	德古拉Dracula	
王者荣耀德古拉解说：安琪拉火焰山简单连招克敌制胜！	2017-04-18 00:00:00	04:58	本期德古拉为大家带来英雄安琪拉火焰山模式第一视角视频，蹦蹦哒哒的击杀也要这么萌！	j039429xjrk	王者荣耀德古拉解说：安琪拉火焰山简单连招克敌制胜！	德古拉Dracula	
王者排位日志【129】韩信游击队打完我就跑！	2017-04-18 00:00:00	14:59	本期德古拉为大家带来钻石局韩信第一视角实战攻略，横扫野区，专治各种不服！	g0394usexe0	王者排位日志【129】韩信游击队打完我就跑！	德古拉Dracula	
王者荣耀德古拉解说：人狠话不多顶住就是砍！	2017-04-18 00:00:00	09:52	本期德古拉为大家带来钻石局曹操第一视角实战攻略，杀人不过头点地，给条活路行不行！	h039460aqui	王者荣耀德古拉解说：人狠话不多顶住就是砍！	德古拉Dracula	
王者荣耀德古拉解说：大逆风露娜的绝命反扑！	2017-04-18 00:00:00	09:26	本期德古拉为大家带来钻石局露娜第一视角实战攻略，完美逆风局，只要一波就能翻盘，就是这么嚣张！	l0394gj0uq8	王者荣耀德古拉解说：大逆风露娜的绝命反扑！	德古拉Dracula	
王者荣耀德古拉解说：妲己辅助晕人无极限！	2017-04-18 00:00:00	13:34	本期德古拉为大家带来钻石局妲己第一视角实战攻略，少见不是不能用，配合才是游戏的精髓！	s0394aj7x3a	王者荣耀德古拉解说：妲己辅助晕人无极限！	德古拉Dracula	
王者荣耀德古拉解说：貂蝉大乱斗满地乱窜30杀！	2017-04-17 00:00:00	14:45	本期德古拉为大家带来英雄貂蝉大乱斗模式第一视角视频，30杀杀到敌人胆战心惊！	b03947nl1cr	王者荣耀德古拉解说：貂蝉大乱斗满地乱窜30杀！	德古拉Dracula	
王者荣耀德古拉解说：老夫子火焰山狂抽后排！	2017-04-17 00:00:00	05:50	本期德古拉为大家带来英雄老夫子火焰山模式第一视角视频，戒尺拿起，谁不听话就揍谁！	t0394a7z2v4	王者荣耀德古拉解说：老夫子火焰山狂抽后排！	德古拉Dracula	
王者荣耀德古拉解说：曹操阴人收割一蹲一个准！	2017-04-17 00:00:00	10:59	本期德古拉为大家带来钻石局曹操实战攻略，阴人无敌，制霸全场！	k0394no57la	王者荣耀德古拉解说：曹操阴人收割一蹲一个准！	德古拉Dracula	
王者排位日志【128】战神杨戬疯狂20杀盛宴！	2017-04-17 00:00:00	13:48	本期德古拉为大家带来钻石局杨戬实战攻略，全场20杀嗨翻全场！	n0394tz8xf3	王者排位日志【128】战神杨戬疯狂20杀盛宴！	德古拉Dracula	
王者荣耀德古拉解说：娜可露露秀残血找刺激之旅！	2017-04-17 00:00:00	14:29	本期德古拉为大家带来钻石局娜可露露实战攻略，残血不跑，迎风直上！	e0394ocrb4h	王者荣耀德古拉解说：娜可露露秀残血找刺激之旅！	德古拉Dracula	
王者荣耀德古拉解说：野区霸主韩信游走Gank节奏强！	2017-04-17 00:00:00	07:46	本期德古拉为大家带来钻石局韩信实战攻略，操作犀利全场牵制！	o0394bqrsui	王者荣耀德古拉解说：野区霸主韩信游走Gank节奏强！	德古拉Dracula	
王者荣耀德古拉解说：宫本大乱斗27杀实力1V5！	2017-04-17 00:00:00	14:37	本期德古拉为大家带来英雄宫本大乱斗模式第一视角视频，疯狂入场屠戮一杀五！	e0394t0di7e	王者荣耀德古拉解说：宫本大乱斗27杀实力1V5！	德古拉Dracula	
王者荣耀德古拉解说：鲁班七号克隆站撸悟空！	2017-04-16 00:00:00	12:35	本期德古拉为大家带来英雄鲁班七号克隆模式第一视角视频，站撸之王，疯狂点射！	e0394lnsbpk	王者荣耀德古拉解说：鲁班七号克隆站撸悟空！	德古拉Dracula	
王者排位日志【127】露娜逆风一波四连超凡智取高地！	2017-04-16 00:00:00	13:02	本期德古拉为大家带来钻石局露娜实战攻略，浪过头了就会浪崩，不过机智入场巧夺四杀，智取水晶才是溜！	s0394ns8plx	王者排位日志【127】露娜逆风一波四连超凡智取高地！	德古拉Dracula	
王者荣耀德古拉解说：不死战神曹操残血大秀全场！	2017-04-16 00:00:00	20:11	本期德古拉为大家带来钻石局曹操实战攻略，全场20分钟不死，秀翻全场，刚猛无双！	f03931r6v1s	王者荣耀德古拉解说：不死战神曹操残血大秀全场！	德古拉Dracula	
王者荣耀德古拉解说：杨戬日常送一血怒极反杀！	2017-04-16 00:00:00	08:35	本期德古拉为大家带来钻石局杨戬实战攻略，前期日常送一血，中期千里追敌虽远必诛，后期凯瑞全场！	s03931bvtcs	王者荣耀德古拉解说：杨戬日常送一血怒极反杀！	德古拉Dracula	
王者荣耀德古拉解说：高渐离白起套路强抓谁谁完蛋！	2017-04-16 00:00:00	11:47	本期德古拉为大家带来钻石局高渐离实战攻略，和白起配合抓人高爆发抓谁谁死，鬼见愁！	p0393tr6nim	王者荣耀德古拉解说：高渐离白起套路强抓谁谁完蛋！	德古拉Dracula	
王者荣耀德古拉解说：可汗弯弓射亚瑟草丛箭术万年浪！	2017-04-16 00:00:00	15:02	本期德古拉为大家带来钻石局成吉思汗实战攻略，双射手就看谁更浪更有型了，我家可汗最无敌！	b0393r7evya	王者荣耀德古拉解说：可汗弯弓射亚瑟草丛箭术万年浪！	德古拉Dracula	
王者荣耀德古拉解说：花木兰排位不求有功但求无过！	2017-04-16 00:00:00	10:45	本期德古拉为大家带来钻石局花木兰实战攻略，避实就虚，打的事猥琐！	j0393x1ss3p	王者荣耀德古拉解说：花木兰排位不求有功但求无过！	德古拉Dracula	
王者荣耀德古拉解说：成吉思汗发育流一波输出就爆炸！	2017-04-13 00:00:00	13:49	本期德古拉为大家带来钻石局成吉思汗实战攻略，一路狂带节奏，一波爆发震慑全场！	w039284t9ta	王者荣耀德古拉解说：成吉思汗发育流一波输出就爆炸！	德古拉Dracula	
王者排位日志【126】曹操打野收头两不误，想死太难！	2017-04-13 00:00:00	12:33	本期德古拉为大家带来钻石局曹操实战攻略，虚则打野，实则收割！单挑无人能及！	a039231myq5	王者排位日志【126】曹操打野收头两不误，想死太难！	德古拉Dracula	
王者荣耀德古拉解说：我有神箭一线天，虽远必诛！	2017-04-12 00:00:00	14:18	本期德古拉为大家带来钻石局虞姬实战攻略，神箭无敌，一套带走！	b03924l8cuz	王者荣耀德古拉解说：我有神箭一线天，虽远必诛！	德古拉Dracula	
王者荣耀德古拉解说：高渐离魔音入耳近身即亡！	2017-04-12 00:00:00	12:28	本期德古拉为大家带来钻石局高渐离实战攻略，魔音入耳要人命，一曲离歌送回家！	g0392hl478i	王者荣耀德古拉解说：高渐离魔音入耳近身即亡！	德古拉Dracula	
王者荣耀德古拉解说：打野曹操不务正业全程玩击杀！	2017-04-12 00:00:00	15:14	本期德古拉为大家带来钻石局曹操实战攻略，打野打的烦了，就去收人偷去了，一去不复返！	t0392fd5src	王者荣耀德古拉解说：打野曹操不务正业全程玩击杀！	德古拉Dracula	
王者荣耀德古拉解说：后羿大乱斗怒起来很吓人！	2017-04-12 00:00:00	09:16	本期德古拉为大家带来英雄后羿大乱斗模式第一视角视频，怒急四杀，斩获苍穹！	v0392mur8xp	王者荣耀德古拉解说：后羿大乱斗怒起来很吓人！	德古拉Dracula	
王者排位日志【125】关二爷横刀立马苦练刀法！	2017-04-12 00:00:00	12:18	本期德古拉为大家带来钻石局关羽实战攻略，力劈华山，大刀向敌人的头上砍去！	u0392dkc8u9	王者排位日志【125】关二爷横刀立马苦练刀法！	德古拉Dracula	
王者荣耀德古拉解说：枭雄曹操刚猛无所畏惧！	2017-04-12 00:00:00	10:13	本期德古拉为大家带来钻石局曹操实战攻略，新版本就要玩出新花样，堪比那可远超韩信！	y0392ddkdfq	王者荣耀德古拉解说：枭雄曹操刚猛无所畏惧！	德古拉Dracula	
王者荣耀德古拉解说：虞姬大逆风的磨血消耗战！	2017-04-11 00:00:00	19:09	本期德古拉为大家带来钻石局虞姬实战攻略，逆风最爱，远远的就是玩消耗！	j0392kpqqbh	王者荣耀德古拉解说：虞姬大逆风的磨血消耗战！	德古拉Dracula	
王者荣耀德古拉解说：二哈战场！草丛追尾战！	2017-04-11 00:00:00	06:32	本期德古拉为大家带来钻石局成吉思汗实战攻略，追着尾巴就是射，万物复苏，春天来了！	t0392zz2d8y	王者荣耀德古拉解说：二哈战场！草丛追尾战！	德古拉Dracula	
王者荣耀德古拉解说：风水轮流转，浪过不能轻易投！	2017-04-11 00:00:00	20:52	本期德古拉为大家带来钻石局韩信实战攻略，顺风浪逆风投，遇到这种队友就得打出强心剂！	x03923tbqw3	王者荣耀德古拉解说：风水轮流转，浪过不能轻易投！	德古拉Dracula	
王者荣耀德古拉解说：大乱斗周瑜杀人放火专秒肉！	2017-04-11 00:00:00	08:39	本期德古拉为大家带来英雄周瑜大乱斗模式第一视角视频，专业纵火烧遍峡谷，火烧肘子玩的就是肉！	r03923vdd1m	王者荣耀德古拉解说：大乱斗周瑜杀人放火专秒肉！	德古拉Dracula	
王者排位日志【124】妲己排位一套送回家只需技能231！	2017-04-11 00:00:00	15:31	本期德古拉为大家带来钻石局妲己实战攻略，疾步奔跑，遇谁秒谁！	f03923bsrj5	王者排位日志【124】妲己排位一套送回家只需技能231！	德古拉Dracula	
王者荣耀德古拉解说：韩信玩牵制，越塔强杀流！	2017-04-11 00:00:00	13:20	本期德古拉为大家带来钻石局韩信实战攻略，越塔的刺激你值得拥有！	l0392pu451a	王者荣耀德古拉解说：韩信玩牵制，越塔强杀流！	德古拉Dracula	
王者荣耀德古拉解说：虞姬浪迹王者峡谷死磕宫本！	2017-04-11 00:00:00	13:48	本期德古拉为大家带来钻石局虞姬实战攻略，一路对线天下无双！	p0392mp0m41	王者荣耀德古拉解说：虞姬浪迹王者峡谷死磕宫本！	德古拉Dracula	
王者荣耀德古拉解说：飞鹰少女娜可露露逆风以命相搏！	2017-04-11 00:00:00	17:30	本期德古拉为大家带来钻石局娜可露露实战攻略，逆风被压一路反打，为切C位，以命相搏！	p0392mhreww	王者荣耀德古拉解说：飞鹰少女娜可露露逆风以命相搏！	德古拉Dracula	
王者荣耀德古拉解说：太乙真人火焰山另类复活新玩法！	2017-04-11 00:00:00	05:42	本期德古拉为大家带来英雄太乙真人火焰山模式第一视角视频，锅炉自杀，烈火中重生的新打法！	t03921lykzc	王者荣耀德古拉解说：太乙真人火焰山另类复活新玩法！	德古拉Dracula	
王者荣耀德古拉解说：花木兰火焰山碳烤萝卜味更美！	2017-04-11 00:00:00	05:29	本期德古拉为大家带来英雄花木兰火焰山模式第一视角视频，侧翼突进，见谁推谁！	w0392grbkva	王者荣耀德古拉解说：花木兰火焰山碳烤萝卜味更美！	德古拉Dracula	
王者荣耀德古拉解说：兰陵王大乱斗捉襟见肘！	2017-04-11 00:00:00	12:23	本期德古拉为大家带来英雄兰陵王大乱斗模式第一视角视频，打的尴尬，玩的揪心！	k0392jtf4ji	王者荣耀德古拉解说：兰陵王大乱斗捉襟见肘！	德古拉Dracula	
王者排位日志【123】老夫子戒尺狂抽教做人！	2017-04-11 00:00:00	16:06	本期德古拉为大家带来铂金局老夫子实战攻略，攻速快如闪电，追着屁股猛打！	o039249b7vq	王者排位日志【123】老夫子戒尺狂抽教做人！	德古拉Dracula	
王者荣耀德古拉解说：右手露娜强行秀操作月下连起来！	2017-04-10 00:00:00	16:06	本期德古拉为大家带来铂金局露娜实战攻略，连招秀操作，舍我其谁！	a0392kr5xro	王者荣耀德古拉解说：右手露娜强行秀操作月下连起来！	德古拉Dracula	
王者荣耀德古拉解说：曹操大招强行吸血挡也挡不住！	2017-04-10 00:00:00	11:59	本期德古拉为大家带来铂金局曹操实战攻略，战撸吸血，不服不行！血残不怕，回头就是撸！	k0392a89fy6	王者荣耀德古拉解说：曹操大招强行吸血挡也挡不住！	德古拉Dracula	
王者荣耀德古拉解说：虞姬排位强势凯瑞强虐杨戬！	2017-04-10 00:00:00	10:52	本期德古拉为大家带来铂金局虞姬实战攻略，实力欺负杨戬，一路带穿，遇谁秒谁！！	y0392qku9xm	王者荣耀德古拉解说：虞姬排位强势凯瑞强虐杨戬！	德古拉Dracula	
王者荣耀德古拉解说：二爷大乱斗25杀击杀秀！	2017-04-10 00:00:00	12:41	本期德古拉为大家带来英雄关羽大乱斗模式第一视角视频，25杀击杀秀，四刀关再展雄风！	o03927l6ax5	王者荣耀德古拉解说：二爷大乱斗25杀击杀秀！	德古拉Dracula	
王者排位日志【122】东皇太一极限不死反杀没毛病！	2017-04-10 00:00:00	12:35	本期德古拉为大家带来铂金局东皇太一实战攻略，实力凯瑞全场，残血留人，极限反杀！	l0392n6mu5l	王者排位日志【122】东皇太一极限不死反杀没毛病！	德古拉Dracula	
王者荣耀德古拉解说：膀胱局李白为荣誉而战！	2017-04-10 00:00:00	23:49	本期德古拉为大家带来钻石局李白实战攻略，为了荣誉，为了曾经的辉煌，拼了！	u0391yx1e27	王者荣耀德古拉解说：膀胱局李白为荣誉而战！	德古拉Dracula	
王者荣耀德古拉解说：露娜排位团战一秀三玩操作！	2017-04-09 00:00:00	11:46	本期德古拉为大家带来钻石局露娜实战攻略，能打能秀能装13，谁来打谁没毛病！	x0391j6v5ma	王者荣耀德古拉解说：露娜排位团战一秀三玩操作！	德古拉Dracula	
王者荣耀德古拉解说：韩信慢慢磨，主播教口遁！	2017-04-09 00:00:00	20:05	本期德古拉为大家带来铂金局韩信实战攻略，后期磨起来，走位风骚谁怕谁！	e0391cpsjfy	王者荣耀德古拉解说：韩信慢慢磨，主播教口遁！	德古拉Dracula	
王者排位日志【121】李白新版连招Gank全场！	2017-04-09 00:00:00	11:50	本期德古拉为大家带来钻石局李白实战攻略，晋级赛不慌不忙无限刷大！	i0391mrv42l	王者排位日志【121】李白新版连招Gank全场！	德古拉Dracula	
王者荣耀德古拉解说：裙男橘右京大乱斗拔刀快准狠！	2017-04-09 00:00:00	06:16	本期德古拉为大家带来英雄橘右京大乱斗模式第一视角视频，阴险狠辣，就没输过谁！	f03915k7yvm	王者荣耀德古拉解说：裙男橘右京大乱斗拔刀快准狠！	德古拉Dracula	
王者荣耀德古拉解说：诸葛亮火焰山无限被动刷起来！	2017-04-09 00:00:00	04:36	本期德古拉为大家带来英雄诸葛亮火焰山模式第一视角视频，被动刷起来就是浪荡！	o0391hcdre0	王者荣耀德古拉解说：诸葛亮火焰山无限被动刷起来！	德古拉Dracula	
王者荣耀德古拉解说：嬴政火焰山金色小剑亮出来！	2017-04-09 00:00:00	05:31	本期德古拉为大家带来英雄嬴政火焰山模式第一视角视频，大招一开，避无可避！	t03912e3tx7	王者荣耀德古拉解说：嬴政火焰山金色小剑亮出来！	德古拉Dracula	
王者排位日志【121】李白新版连招Gank全场！	2017-04-07 00:00:00	11:53	本期德古拉为大家带来钻石局李白实战攻略，晋级赛不慌不忙无限刷大！	a0391tl7gsw	王者排位日志【121】李白新版连招Gank全场！	德古拉Dracula	
王者荣耀德古拉解说：兰陵王大乱斗无限收割也难抗！	2017-04-07 00:00:00	09:47	本期德古拉为大家带来英雄兰陵王大乱斗模式第一视角视频，再怎么凯瑞也赶不上队友的机智！	i0391gvk2dc	王者荣耀德古拉解说：兰陵王大乱斗无限收割也难抗！	德古拉Dracula	
王者荣耀德古拉解说：韩信排位各种风骚各种浪！	2017-04-07 00:00:00	08:54	本期德古拉为大家带来钻石局韩信实战攻略，跳跳很疯狂，一进一出要人命！	h03918wx4ii	王者荣耀德古拉解说：韩信排位各种风骚各种浪！	德古拉Dracula	
王者荣耀德古拉解说：杨戬狗哥一套秒人玩刺激！	2017-04-07 00:00:00	15:31	本期德古拉为大家带来钻石局杨戬实战攻略，关门放狗，咬到崩溃！	w0391oghgzi	王者荣耀德古拉解说：杨戬狗哥一套秒人玩刺激！	德古拉Dracula	
王者荣耀德古拉解说：排位妲己极限控制距离找时机！	2017-04-06 00:00:00	16:01	本期德古拉为大家带来铂金局妲己实战攻略，秒人只要一套带走没毛病！	b0391m27jja	王者荣耀德古拉解说：排位妲己极限控制距离找时机！	德古拉Dracula	
王者荣耀德古拉解说：诸葛亮火焰山无限被动刷起来！	2017-04-06 00:00:00	09:39	本期德古拉为大家带来英雄诸葛亮火焰山模式第一视角视频，被动刷起来就是浪荡！	f03911z6mf7	王者荣耀德古拉解说：诸葛亮火焰山无限被动刷起来！	德古拉Dracula	
王者排位日志【120】逆风露娜新版排位依然秀！	2017-04-06 00:00:00	13:18	本期德古拉为大家带来钻石局露娜实战攻略，逆风不怕，稳定发育，强势收割！	k039149zen8	王者排位日志【120】逆风露娜新版排位依然秀！	德古拉Dracula	
王者荣耀德古拉解说：拼命达摩无敌飞踹无影脚！	2017-04-06 00:00:00	18:35	本期德古拉为大家带来钻石局达摩实战攻略，神级脚法无力回天的无奈！	y0390wamkn6	王者荣耀德古拉解说：拼命达摩无敌飞踹无影脚！	德古拉Dracula	
王者荣耀德古拉解说：吸血遇真伤，曹操遇杨戬！	2017-04-06 00:00:00	14:41	本期德古拉为大家带来钻石局曹操实战攻略，一辈子没怕过谁，唯独杨戬！	q0390sid6ni	王者荣耀德古拉解说：吸血遇真伤，曹操遇杨戬！	德古拉Dracula	
王者荣耀德古拉解说：带崩节奏的韩信一撸到底！	2017-04-06 00:00:00	12:48	本期德古拉为大家带来钻石局韩信实战攻略，节奏带崩努力弥补，一撸到底勇往直前！	j03901myaki	王者荣耀德古拉解说：带崩节奏的韩信一撸到底！	德古拉Dracula	
王者荣耀德古拉解说：王昭君火焰山没蓝平A也疯狂！	2017-04-06 00:00:00	05:11	本期德古拉为大家带来英雄王昭君火焰山模式第一视角视频，冰火乱怼，没蓝就用平A输出也给力！	a0390bkhwlw	王者荣耀德古拉解说：王昭君火焰山没蓝平A也疯狂！	德古拉Dracula	
王者荣耀德古拉解说：曹操大乱斗该出手时就出手！	2017-04-06 00:00:00	09:46	本期德古拉为大家带来英雄曹操大乱斗模式第一视角视频，蹲草阴人，枭雄就要这么做！	v0390actnhu	王者荣耀德古拉解说：曹操大乱斗该出手时就出手！	德古拉Dracula	
王者排位日志【119】韩信钻石排位该出手时就出手！	2017-04-05 00:00:00	14:12	本期德古拉为大家带来钻石据局韩信实战攻略，出手快准狠，全线游走！	o0390xm7y74	王者排位日志【119】韩信钻石排位该出手时就出手！	德古拉Dracula	
王者荣耀德古拉解说：妲己收割的舞蹈看了就没命！	2017-04-05 00:00:00	15:48	本期德古拉为大家带来钻石局妲己实战攻略，辅助妲己，风骚走位实力带抓人！	i0390n2lh49	王者荣耀德古拉解说：妲己收割的舞蹈看了就没命！	德古拉Dracula	
王者荣耀德古拉解说：东皇太一先手强控流！	2017-04-05 00:00:00	12:10	本期德古拉为大家带来钻石局东皇太一实战攻略，强上强大，怼住就是一个大招实力秒人！	y03908po1of	王者荣耀德古拉解说：东皇太一先手强控流！	德古拉Dracula	
王者荣耀德古拉解说：达摩神踢一脚踹四人！	2017-04-05 00:00:00	16:05	本期德古拉为大家带来钻石局达摩实战攻略，神级飞踹，以一敌四，无奈队友不给力！	t0390mw2ag3	王者荣耀德古拉解说：达摩神踢一脚踹四人！	德古拉Dracula	
王者荣耀德古拉解说：扁鹊大乱斗数数秒人拼智商！	2017-04-05 00:00:00	08:00	本期德古拉为大家带来英雄扁鹊大乱斗模式第一视角视频，细数12345，人头就到手！	g03909nfx58	王者荣耀德古拉解说：扁鹊大乱斗数数秒人拼智商！	德古拉Dracula	
王者荣耀德古拉解说：老夫子火焰山戒尺打屁股啪啪响！	2017-04-05 00:00:00	05:59	本期德古拉为大家带来英雄老夫子火焰山模式第一视角视频，戒尺打天下，一顿暴揍！	o0390jbmhdo	王者荣耀德古拉解说：老夫子火焰山戒尺打屁股啪啪响！	德古拉Dracula	
王者荣耀德古拉解说：杨戬出山打两个不够杀三个更爽！	2017-04-05 00:00:00	12:34	本期德古拉为大家带来钻石局杨戬实战攻略，打法要刚，咬住就是死咬，大招一开无限吸血！	x0390k09b85	王者荣耀德古拉解说：杨戬出山打两个不够杀三个更爽！	德古拉Dracula	
王者排位日志EP118新版本韩信打野收人头节奏要带稳！	2017-04-05 00:00:00	11:45	本期德古拉为大家带来钻石据局韩信实战攻略，逆风不怕，用牵制游走打乱节奏，然后一波逆袭打爆水晶，逆风节奏就要这么带！	p03902sfzni	王者排位日志EP118新版本韩信打野收人头节奏要带稳！	德古拉Dracula	
王者荣耀德古拉解说：新版李白排位测试连招输出！	2017-04-04 00:00:00	12:08	本期德古拉为大家带来铂金局李白实战攻略，新版李白的实战体验，二技能的减速缩短和一技能的距离让人略微不爽！	s03905tc4d6	王者荣耀德古拉解说：新版李白排位测试连招输出！	德古拉Dracula	
王者荣耀德古拉解说：东皇太一战撸打法就是刚猛！	2017-04-04 00:00:00	12:19	本期德古拉为大家带来铂金局东皇太一实战攻略，上单一挑二，成功反杀，大招强行换血不讲道理！	o0390ofxsex	王者荣耀德古拉解说：东皇太一战撸打法就是刚猛！	德古拉Dracula	
王者荣耀德古拉解说：火焰山关羽五连绝世人仰马翻！	2017-04-04 00:00:00	05:01	本期德古拉为大家带来英雄关羽火焰山模式第一视角视频，一波五杀惊天动地！	z03907o89kp	王者荣耀德古拉解说：火焰山关羽五连绝世人仰马翻！	德古拉Dracula	
王者荣耀德古拉解说：新版太乙大乱斗21杀连环炸！	2017-04-04 00:00:00	13:28	本期德古拉为大家带来英雄太乙真人大乱斗模式第一视角视频，21杀秒杀全场，凯瑞就是这么简单！	y0390m8v84r	王者荣耀德古拉解说：新版太乙大乱斗21杀连环炸！	德古拉Dracula	
王者排位日志【116】荣耀娜可露露14杀冠绝全场！	2017-03-29 00:00:00	17:13	本期德古拉为大家带来荣耀王者局娜可露露实战攻略，实力肉打野，强切脆皮一击即退，新的打野王！	p0388xo1p87	王者排位日志【116】荣耀娜可露露14杀冠绝全场！	德古拉Dracula	
王者荣耀德古拉解说：王者露娜温水煮青蛙，玩的要稳！	2017-03-29 00:00:00	19:18	本期德古拉为大家带来荣耀王者局露娜实战攻略，还是带净化，慢慢滚雪球，关键时刻一波带走，要的就是稳！	i0388jdj74j	王者荣耀德古拉解说：王者露娜温水煮青蛙，玩的要稳！	德古拉Dracula	
王者排位日志【117】荣耀韩信逆风不死牵制游走套路局！	2017-03-29 00:00:00	14:38	本期德古拉为大家带来荣耀王者局韩信实战攻略，逆风不怕，用牵制游走打乱节奏，然后一波逆袭打爆水晶，逆风节奏就要这么带！	l0388uqygyx	王者排位日志【117】荣耀韩信逆风不死牵制游走套路局！	德古拉Dracula	
王者荣耀德古拉解说：露娜遇白起，月下连不起！	2017-03-29 00:00:00	20:27	本期德古拉为大家带来荣耀王者局露娜实战攻略，本局遇到天生连招死敌白起克制，虽然不能无限连，但是依旧不屈不挠赢得胜利！	z038803s6dz	王者荣耀德古拉解说：露娜遇白起，月下连不起！	德古拉Dracula	
王者排位日志【115】荣耀花木兰-飞舞的萝卜！	2017-03-29 00:00:00	15:26	本期德古拉为大家带来荣耀王者局胡木兰实战攻略，萝卜起风吹云散，怼谁揍谁，牙齿蹦出半个不字，管杀不管埋！	q0388pzimol	王者排位日志【115】荣耀花木兰-飞舞的萝卜！	德古拉Dracula	
王者荣耀德古拉解说：王者宫本野区专业阴人，逮谁谁死！	2017-03-29 00:00:00	14:35	本期德古拉为大家带来王者局宫本实战攻略，草丛就是家，阴人靠大家，专业阴人100年！	s0388nmqisq	王者荣耀德古拉解说：王者宫本野区专业阴人，逮谁谁死！	德古拉Dracula	
王者荣耀德古拉解说：净化露娜逆风11杀的悲歌！	2017-03-29 00:00:00	16:14	本期德古拉为大家带来荣耀王者局露娜实战攻略，身带净化冷静的逆风11杀，虽败犹荣！	f03889rn7iv	王者荣耀德古拉解说：净化露娜逆风11杀的悲歌！	德古拉Dracula	
王者荣耀德古拉解说：李白遇三肉，一波团灭上高地！	2017-03-29 00:00:00	13:04	本期德古拉为大家带来荣耀王者局李白实战攻略，三坨肉实在是打不动，遇刚则刚，玩刺客就要有这个态度！	b0388g0jwdm	王者荣耀德古拉解说：李白遇三肉，一波团灭上高地！	德古拉Dracula	
王者排位日志【114】荣耀局露娜野区1V4实力秀一波！	2017-03-29 00:00:00	10:53	本期德古拉为大家带来荣耀王者局露娜实战攻略，实力野区1V4，吊打一切不服！	z0388wufxtk	王者排位日志【114】荣耀局露娜野区1V4实力秀一波！	德古拉Dracula	
王者排位日志【113】娜可露露开团的避重就轻！	2017-03-29 00:00:00	20:38	本期德古拉为大家带来荣耀王者局娜可露露实战攻略，打团要绕后切法师，骑鸟空降防不胜防！	h0388909u42	王者排位日志【113】娜可露露开团的避重就轻！	德古拉Dracula	
